k,rerank_depth,MAP,nDCG@10,time_s
10,1000,0.2759,0.5,2008.9
10,1200,0.2759,0.5,1992.0
10,1300,0.2759,0.5,1992.2
10,1400,0.2759,0.5,1993.0
10,1500,0.2759,0.5,1992.4
20,1400,0.2755,0.5017,1993.2
20,1000,0.2755,0.5017,1993.1
20,1300,0.2755,0.5017,1991.6
20,1200,0.2755,0.5017,1991.0
30,1000,0.2728,0.5011,2004.9
40,1000,0.2721,0.5057,2005.5
30,700,0.2714,0.5021,1429.1
50,1000,0.2706,0.5008,2006.8
40,700,0.2702,0.5041,1428.6
50,700,0.2689,0.5025,1428.2
30,500,0.2656,0.5011,1037.6
40,500,0.2645,0.5039,1028.0
50,500,0.2633,0.5024,1028.6
60,500,0.2627,0.5028,1029.6
